"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type",Comment,Date,Impressions,Reach,Shares,Follows,"Profile visits",Replies,"Link clicks","Product button clicks","Sticker taps",Navigation
17942218628553109,17841454488074241,viderma.sports,"Viderma Sports",,15,"02/11/2023 14:02",https://instagram.com/stories/viderma.sports/3036121322548811412,"IG story",,Lifetime,57,57,0,0,0,0,0,0,0,63
17901307622735962,17841454488074241,viderma.sports,"Viderma Sports","#11 do mundo 2023
em transferências 👏🏻👏🏻 
@marciobittencourtsports",0,"02/10/2023 05:02",https://instagram.com/stories/viderma.sports/3035144246995420275,"IG story",,Lifetime,51,51,0,0,0,1,0,0,1,48
17968181015169547,17841454488074241,viderma.sports,"Viderma Sports","BOA LUTA AOS ATLETAS GB COMPETINDO NO @COMPNET_BRASIL 🔺",15,"02/10/2023 01:02",https://instagram.com/stories/viderma.sports/3035007043179327852,"IG story",,Lifetime,56,56,0,0,0,0,0,0,0,60
18011764570486161,17841454488074241,viderma.sports,"Viderma Sports",,0,"02/09/2023 03:02",https://instagram.com/stories/viderma.sports/3034352823152766985,"IG story",,Lifetime,41,40,0,0,1,0,0,0,0,50
17950379006320499,17841454488074241,viderma.sports,"Viderma Sports",,0,"02/09/2023 02:02",https://instagram.com/stories/viderma.sports/3034317675380172790,"IG story",,Lifetime,45,43,0,0,0,0,0,0,0,47
17883280121747479,17841454488074241,viderma.sports,"Viderma Sports",,0,"02/09/2023 01:02",https://instagram.com/stories/viderma.sports/3034288140525988829,"IG story",,Lifetime,45,44,0,0,0,0,0,0,0,49
18018808447499778,17841454488074241,viderma.sports,"Viderma Sports",,15,"02/08/2023 12:02",https://instagram.com/stories/viderma.sports/3033894619755783616,"IG story",,Lifetime,35,35,0,0,2,0,0,0,0,35
17977047550869374,17841454488074241,viderma.sports,"Viderma Sports",,0,"02/08/2023 06:02",https://instagram.com/stories/viderma.sports/3033719376520468258,"IG story",,Lifetime,59,55,0,0,0,0,0,0,0,62
18171488500261330,17841454488074241,viderma.sports,"Viderma Sports","#TEAMVIDERMA 💪",15,"02/07/2023 13:02",https://instagram.com/stories/viderma.sports/3033188932956363100,"IG story",,Lifetime,46,45,0,0,0,0,0,0,0,42
18325546558069955,17841454488074241,viderma.sports,"Viderma Sports",,0,"02/05/2023 01:02",https://instagram.com/stories/viderma.sports/3031399602700629650,"IG story",,Lifetime,50,49,0,0,0,0,0,0,0,51
